Year,Month,Equity_Net_Cr,Debt_Net_Cr,Total_Net_Cr,Source
2010,February,1215.0,3146.0,4361.0,NSDL
2010,March,19927.0,9511.0,29438.0,NSDL
2010,April,9362.0,3031.0,12393.0,NSDL
2010,May,-9438.0,2451.0,-6987.0,NSDL
2010,June,10507.0,740.0,11247.0,NSDL
2010,July,16618.0,8105.0,24723.0,NSDL
2010,August,11685.0,3000.0,14685.0,NSDL
2010,September,24980.0,7688.0,32668.0,NSDL
2010,October,28561.0,-4261.0,24300.0,NSDL
2010,November,18294.0,2916.0,21210.0,NSDL
2010,December,2048.0,1166.0,3214.0,NSDL
2011,January,-4813.0,10179.0,5366.0,NSDL
2011,February,-4585.0,1317.0,-3268.0,NSDL
2011,March,6896.0,-16.0,6880.0,NSDL
2011,April,7211.0,-16.0,7195.0,NSDL
2011,May,-6613.0,2338.0,-4275.0,NSDL
2011,June,4575.0,310.0,4885.0,NSDL
2011,July,8030.0,2623.0,10653.0,NSDL
2011,August,-10836.0,2932.0,-7904.0,NSDL
2011,September,-159.0,-1706.0,-1865.0,NSDL
2011,October,1678.0,1404.0,3082.0,NSDL
2011,November,-4198.0,932.0,-3266.0,NSDL
2011,December,100.0,21775.0,21875.0,NSDL
2012,January,10355.0,15970.0,26325.0,NSDL
2012,February,25212.0,10015.0,35227.0,NSDL
2012,March,8382.0,-6588.0,1794.0,NSDL
2012,April,-1109.0,-3789.0,-4898.0,NSDL
2012,May,-348.0,3569.0,3221.0,NSDL
2012,June,-503.0,1679.0,1176.0,NSDL
2012,July,10276.0,3391.0,13667.0,NSDL
2012,August,10804.0,264.0,11068.0,NSDL
2012,September,19262.0,623.0,19885.0,NSDL
2012,October,11365.0,7853.0,19218.0,NSDL
2012,November,9579.0,290.0,9869.0,NSDL
2012,December,25086.0,1704.0,26790.0,NSDL
2013,January,22059.0,2948.0,25007.0,NSDL
2013,February,24440.0,4000.0,28440.0,NSDL
2013,March,9125.0,5796.0,14921.0,NSDL
2013,April,5413.0,5334.0,10747.0,NSDL
2013,May,22168.0,5968.0,28136.0,NSDL
2013,June,-11027.0,-33135.0,-44162.0,NSDL
2013,July,-6087.0,-12039.0,-18126.0,NSDL
2013,August,-5923.0,-9775.0,-15698.0,NSDL
2013,September,13057.0,-5678.0,7379.0,NSDL
2013,October,15706.0,-13581.0,2125.0,NSDL
2013,November,8116.0,-5983.0,2133.0,NSDL
2013,December,16087.0,5291.0,21378.0,NSDL
2014,January,714.0,12607.0,13321.0,NSDL
2014,February,1405.0,11336.0,12741.0,NSDL
2014,March,20078.0,11587.0,31665.0,NSDL
2014,April,9600.0,-9185.0,418.0,NSDL
2014,May,14007.0,19771.0,33778.0,NSDL
2014,June,13990.0,16715.0,30705.0,NSDL
2014,July,13110.0,22935.0,36045.0,NSDL
2014,August,5431.0,16704.0,22135.0,NSDL
2014,September,5104.0,15869.0,20973.0,NSDL
2014,October,-1172.0,17901.0,16729.0,NSDL
2014,November,13756.0,11723.0,25479.0,NSDL
2014,December,1036.0,11189.0,12225.0,NSDL
2015,January,12919.0,20768.0,33687.0,NSDL
2015,February,11475.0,13089.0,24564.0,NSDL
2015,March,12076.0,8649.0,20725.0,NSDL
2015,April,11721.0,3610.0,15331.0,NSDL
2015,May,-5769.0,-8503.0,-14272.0,NSDL
2015,June,-3344.0,1737.0,-1607.0,NSDL
2015,July,5321.0,2.0,5323.0,NSDL
2015,August,-16878.0,-646.0,-17524.0,NSDL
2015,September,-6477.0,690.0,-5787.0,NSDL
2015,October,6649.0,15703.0,22352.0,NSDL
2015,November,-7074.0,-3754.0,-10828.0,NSDL
2015,December,-2818.0,-5489.0,-8307.0,NSDL
2016,January,-11127.0,2313.0,-8814.0,NSDL
2016,February,-5522.0,-8194.0,-13716.0,NSDL
2016,March,21142.0,-1477.0,19665.0,NSDL
2016,April,8415.0,6418.0,14833.0,NSDL
2016,May,2542.0,-4409.0,-1867.0,NSDL
2016,June,3714.0,-6221.0,-2507.0,NSDL
